FNAME,LNAME,GENDER,TELNO,BIRTHDATE,IDNUMBER,CITY,TOWN
DOLUNAY,GÜLEN,F,5497054852,1969-10-19,24595581472,SAMSUN,YAKAKENT
ENİSE,CÖMERT,F,5373905876,1948-12-06,16677737819,SINOP,DURAGAN
BADE,AKSEL,F,5361660945,2015-05-24,27535125402,RIZE,KALKANDERE
NECDET,AÇIKGÖZ,M,5594827482,1944-06-10,83212897251,AMASYA,MERKEZ
KIYMET,KARAOĞLU,F,5435067570,1945-06-08,12378729769,ÇANAKKALE,EZINE
GÜRBÜZ,KISA KARAKAYA,M,5476143674,1945-12-20,32045320308,ELAZIG,KOVANCILAR
ECEM,KİŞİ,F,5395857330,2007-12-20,20559150291,GIRESUN,SEBINKARAHISAR
PETEK,YILMAZ,F,5365832714,1945-08-12,29112361675,ÇANKIRI,SABANÖZÜ
MÜKERREM,AKDENİZ,M,5520817825,1990-05-19,69782654102,KÜTAHYA,DUMLUPINAR
ÇİMEN,GİRAY,F,5454409173,2013-12-28,14144921872,KARS,SUSUZ
NASREDDİN,DEMİR,M,5364228946,1962-12-30,14312789958,ERZURUM,KÖPRÜKÖY
MÜKERREM,AKDENİZ,M,5597385414,1933-06-12,76178246011,GÜMÜSHANE,KÖSE
PELİN,TÜLPAR,F,5320357596,2016-12-16,41702213882,KASTAMONU,SEYDILER
GÜLDEM,YILDIZ,F,5562249745,2004-07-15,70879030515,RIZE,IYIDERE
CİLVENAZ,GÜLŞAN,F,5587647303,1947-09-28,42626967841,ISTANBUL,TUZLA
ŞEHRAZAT,SARAL,F,5451721336,1945-11-19,22795179590,BALIKESIR,DURSUNBEY
ÖZDEN,YILMAZ,F,5405303406,1958-10-06,14298941688,TRABZON,GÖLBASI
ŞEVKİ,GÜZEL,M,5457192964,1935-11-28,13050319819,ORDU,MESUDIYE
SEDA,SARAÇ,F,5394510005,1963-05-07,35739373338,TRABZON,OF
NURAN,TAYFUN,F,5564363284,1934-02-22,45667718600,ESKISEHIR,MIHALGAZI
LEVNİ,KHALİL,M,5584818460,1972-10-08,76943422909,YOZGAT,KADISEHRI
BADE,AKSEL,F,5415726698,1948-12-24,80161800501,ESKISEHIR,MAHMUDIYE
ŞARANİ,TEPE,M,5515140129,2004-12-21,28007883018,MARDIN,KIZILTEPE
NİGAR,BİNBOĞA,F,5586594170,1953-06-17,26387999218,KASTAMONU,SENPAZAR
DAİ,SERTKAYA,M,5462863476,1963-10-30,84619294677,GAZIANTEP,YAVUZELI
ANİSE,KULAÇ,F,5401140203,2016-09-21,10400978204,ÇORUM,DODURGA
DEMET,BODUROĞLU,F,5401720126,2018-10-02,46585174589,IZMIR,BORNOVA
BEHRAM,GÖLEMEZ,M,5371510974,1960-01-22,17753591201,ORDU,KABATAS
ZEKERİYYA,AKYILMAZ,M,5308916036,1974-10-04,62405556870,BOLU,MERKEZ
MUKADDES,EKİCİ,F,5547105759,2017-01-02,73682613763,SANLIURFA,MERKEZ
ÇEŞMİNAZ,ÖNER,F,5410525552,1930-01-09,50632978614,ÇORUM,LAÇIN
AĞÇA,SÖNMEZ,F,5382666959,1999-11-26,53194595205,RIZE,GÖLBASI
İMGE,BAŞKAN VURALKAN,F,5528796248,1951-07-02,79301135471,IGDIR,KARAKOYUNLU
DEFNE,DEĞİRMENCİ,F,5511787052,1954-03-24,80778593943,AYDIN,KARACASU
CANDAR,İÇBAY,M,5457587953,1950-12-11,60720380903,ANKARA,ETIMESGUT
HİLAL,ALIMLI,F,5433106811,2007-10-22,40245991945,ÇANAKKALE,ÇAN
CEVDET,FIRAT,M,5400994856,2004-03-28,73856552406,AGRI,ELESKIRT
MÜKERREM,AKDENİZ,M,5346871916,1967-03-15,74569739240,GIRESUN,DERELI
FÜREYYA,KUTLUCAN BAĞCI,F,5496290654,1949-10-28,71744637128,HATAY,YAYLADAGI
MİRZA,TALAS,M,5396816556,1992-06-15,74476333450,YALOVA,ÇIFTLIKKÖY
ALPER,PEKEL,M,5329216370,1952-12-20,28406989994,KAHRAMANMARAS,NURHAK
ŞEMSİ,AL,M,5556286556,1935-04-11,65995257465,EDIRNE,MERKEZ
SELMAN,YILDIZ,M,5531206091,2019-03-19,50212511248,DIYARBAKIR,DICLE
GÜNGÖR,DEMİRGAN,F,5467180168,1983-11-20,83933066522,HATAY,ISKENDERUN
ULUS,ÖCALAN,F,5303270472,1946-02-21,41535049893,DIYARBAKIR,SILVAN
MÜLAYİM,KAPLAN,M,5562542580,1972-06-07,80548720001,DENIZLI,ACIPAYAM
AVŞAR,GÜNAY,M,5465173935,2020-02-21,11077228443,DIYARBAKIR,KAYAPINAR
ZAHİDE,ERDEM,F,5432904059,1980-06-09,46158133370,BURDUR,TEFENNI
ŞEYDA,ESER,F,5469924902,1972-03-20,47110929223,KONYA,GÜNEYSINIR
YELDA,KÖYCÜ,F,5424192640,1952-01-30,69985417896,MANISA,TURGUTLU
SELÇUK,SUCAK,M,5551275888,2009-07-26,13753191632,MUGLA,KAVAKLIDERE
ÇİMEN,GİRAY,F,5513620933,2007-07-09,61963602977,RIZE,ÇAYELI
AYŞIL,KULAKSIZ,F,5489305688,1968-04-10,22926499415,GÜMÜSHANE,KÜRTÜN
DERVİŞ,YALÇIN,M,5403577287,2023-05-02,19321032526,AYDIN,SÖKE
HÜSREV,ÖZDEMİR,M,5535105499,1977-03-17,20193330937,KASTAMONU,ARAÇ
BUĞRA,BALLI,M,5558516151,1991-03-06,41491972164,TRABZON,ÇARSIBASI
DESTE,ÜZER,F,5376909884,1957-04-20,52716085266,BOLU,MUDURNU
BİŞR,HODJAOGLU,M,5310864456,2002-01-10,77850889646,ÇORUM,BOGAZKALE
FİRDEVS,TUĞCUGİL,F,5586251000,1957-10-13,17990304185,ÇANAKKALE,LAPSEKI
İNAYETULLAH,KARÇİN,M,5338775180,1966-12-29,22756916386,KARS,ARPAÇAY
NALAN,AKTAŞ,F,5352272886,1972-07-13,11848561964,SAMSUN,ONDOKUZMAYIS
SAFFET,ALPSAN GÖKMEN,M,5572489349,2006-10-01,17886091322,ADANA,CEYHAN
MUHYİDDİN,KAYA,M,5487354873,2014-03-12,35232265174,TOKAT,GÖLBASI
ŞEVVAL,DEMİRAY,F,5556965767,1962-04-11,48893026755,ZONGULDAK,GÖKÇEBEY
EDA,YILDIRIM,F,5397357494,1995-12-18,66886139971,ADIYAMAN,TUT
VAKKAS,DEMİREL,M,5301397714,1954-04-21,72375603910,BINGÖL,ADAKLI
AMİR,ÇATAK,M,5487496190,1998-12-03,26948892710,DIYARBAKIR,HAZRO
AĞÇA,SÖNMEZ,F,5480662938,2008-05-25,24657350335,NEVSEHIR,ÜRGÜP
ÜNSEL,ÇETİN,F,5509295700,1987-12-07,55393067720,KARABÜK,ESKIPAZAR
SELDA,TAVŞAN,F,5519599351,1938-08-29,54293519591,KÜTAHYA,TAVSANLI
FERİDUN,ULUBAŞOĞLU,M,5539546111,2001-09-11,87866496588,KONYA,BEYSEHIR
FUAT,IŞIK,M,5472443498,2017-09-22,32993157807,IZMIR,GAZIEMIR
AMELYA,ORHON,F,5335218985,1985-11-03,62501576395,ANTALYA,AKSEKI
TALAT,GÜNGÖR,M,5395034344,2023-10-19,58559288388,ÇANKIRI,ORTA
ÇAĞIL,KAYAYURT,F,5535179003,2013-08-11,67276068553,IZMIR,ALIAGA
BERKİN,ÇELİK,M,5506363163,1994-11-06,25913783033,ESKISEHIR,BEYLIKOVA
SEÇİL,KOCABAŞ,F,5550309036,1946-04-24,35801444426,MUGLA,DATÇA
